,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f1901591590>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7fc33dacb4d0>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f97b8a3ce90>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f159ae3f590>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f499a512f50>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7febf6bc4fd0>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f1326f7de10>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f9000b8fe10>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7efd8454ff90>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7ff290592f50>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f8f1487b410>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f5e366d6250>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7fc095fb3f90>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7f3980c0f3d0>
,name,rating,title,content,rev_wrote,reply,class instance
,Joel Vargas,3 stars: Average,Decently useful site,"Decently useful site, but it’s the bane of my existence. It’s missing some features I need but still useful. Maybe they’ll improve next year or I’ll look into trello or other good solutions for Project management.",12 reviews,False,<reviewer.Reviewer object at 0x7fe34b204d10>
